ID,IRI_PT,IRI_EC,IRI_PD,PosEmp_avg,LTES_avg,PSA_avg,NTB_avg,FmlyStatus,SSS_Stnfrd,PANAS_PosAvg,PANAS_NegAvg,BFI_e,BFI_a,BFI_c,BFI_n,BFI_o,BAS_avg,BIS_avg,Loneliness_avg,SWLS_avg,SHS_avg,PSS_avg,CESD_avg,STAI_MEAN,HPS_avg,RSQ_avg,RSQ_Brood,RSQ_Ponder,NPI15_avg,MCSDS_avg,IRQ_TOTAL,IRQ_TN,IRQ_TP,IRQ_EN,IRQ_EP
1,19,18,11,3.571429,3,3.833333,3.4,7,7,3.8,1.5,1.875,3.666667,3.222222,2.5,3.5,3.307692,3.285714,1.55,5.6,5.25,2.4,0.8,1.888888889,0.458333333,NA,NA,NA,2.666666667,0.615384615,75,12,17,22,24
2,18,20,19,4,5,4.25,4.6,8,6,3.1,3,2.375,4.444444,3,4.5,2.9,2.769231,3.714286,2.75,4.6,3.5,2.5,1.3,2.722222222,0.375,NA,NA,NA,1.733333333,0.307692308,90,21,23,21,25
3,17,20,10,3.857143,6.666667,3.916667,2.2,7,7,3.9,1.3,3.125,3.666667,3.444444,2,4.2,3.538462,2.857143,1.7,6,6.75,1.1,0.35,1.666666667,0.625,NA,NA,NA,1.866666667,0.769230769,64,8,17,18,21
4,24,20,15,3.285714,4.333333,4,3.1,8,4,3.9,2.1,2.875,3.555556,3.888889,3.857143,3.3,2.923077,3.857143,1.8,6,3.75,1.7,0.4,2.647058824,0.595744681,NA,NA,NA,2.4,0.615384615,97,25,21,26,25
5,18,17,12,4.714286,4,3.416667,3,5,6,4,1.2,3.125,4.222222,4,2.125,4,2.923077,2.571429,1.85,4,4.75,0.9,0.45,1.666666667,0.333333333,NA,NA,NA,3.2,0.384615385,74,14,17,20,23
6,15,23,9,3.857143,4.166667,4.75,4.2,8,5,2.8,1.9,3.875,4.777778,3,2,3.4,2.846154,3.142857,2,6.8,5.5,1.1,0.45,1.666666667,0.375,NA,NA,NA,2.733333333,0.769230769,89,19,19,23,28
7,24,23,5,4.285714,4,4.166667,3.4,7,4,3.6,1.7,4.125,3.777778,4.555556,1.375,2.6,3.384615,2.714286,1.75,4.8,4.75,2.2,0.75,1.777777778,0.25,NA,NA,NA,2.6,0.615384615,73,8,20,20,25
8,16,14,13,3.714286,5.333333,3.666667,3.3,8,6,2.5,2.1,1.625,3.666667,3,3,3.2,2.538462,2.714286,2.6,4,3.75,1.8,0.95,2.222222222,0.3125,NA,NA,NA,1.866666667,0.461538462,76,19,18,20,19
9,18,13,18,3,4,3.5,3.5,7,5,3.3,3.8,1.875,3.777778,4.444444,4.875,3.1,3.615385,3.857143,2.5,5.2,3.5,2.5,2,3.444444444,0.333333333,NA,NA,NA,2,0.384615385,64,16,16,16,16
10,22,19,6,3.571429,6.5,4,2.6,6,4,3.5,1.1,2.25,4.333333,4.444444,1.75,3.6,3.461538,2.714286,2.65,5.2,4.25,0.7,0.65,2.111111111,0.3125,NA,NA,NA,2,0.846153846,47,6,10,15,16
11,17,27,17,3.714286,1.333333,4.416667,4.2,8,7,3.3,1.8,2.5,4.111111,3.666667,2.5,3.5,2.769231,3.571429,1.95,6.8,5.75,1.4,0.3,2,0.4375,NA,NA,NA,3,0.692307692,96,21,23,26,26
12,11,18,13,4.285714,2.333333,4.083333,3.2,8,5,3.3,2,3.25,4.111111,3.222222,2.875,4.1,3.153846,3,2.15,6.6,5.25,1.3,0.55,2,0.625,NA,NA,NA,3.866666667,0.384615385,89,17,26,24,22
13,17,20,11,3.571429,5.666667,3.916667,3.7,7,8,4,1.6,3.375,3.777778,3.888889,2.75,4,2.846154,3,1.9,5.6,5.75,1,0.25,1.944444444,0.416666667,NA,NA,NA,2.8,0.461538462,89,17,23,25,24
14,23,23,8,3.285714,6,4.833333,3.1,7,7,3.5,1.5,2.875,3,4.111111,3,4.1,2.769231,3,1.85,4,3.25,1.4,0.5,2.444444444,0.458333333,NA,NA,NA,2.6,0.461538462,84,18,18,24,24
15,24,25,16,4.714286,4.666667,3.916667,3.7,2,5,4.7,4,4,4,3.888889,3.125,3.8,3.461538,3.571429,2.95,3.8,4.25,2.9,1.65,2.944444444,0.770833333,NA,NA,NA,4.266666667,0.230769231,96,22,24,25,25
16,12,15,13,3,5,3.416667,3.5,8,4,3.1,2.5,4.25,3,2.444444,2.75,2.7,3.153846,2.428571,2.2,4.2,5,2.2,1.1,2.388888889,0.666666667,NA,NA,NA,3.066666667,0.307692308,61,9,17,13,22
17,18,24,13,4,4.666667,4.083333,3.8,7,4,4.5,1.3,2.625,3.75,4.777778,1.875,3.9,2.615385,2.714286,1.9,6.4,4.75,1.6,0.6,1.222222222,0.229166667,NA,NA,NA,2.933333333,0.692307692,88,16,23,25,24
18,16,13,13,3.857143,3.5,3.75,4,9,7,3.7,2.1,4.125,3,3.888889,2.75,3.9,3.076923,2.714286,2.3,4,3.75,1.3,0.65,1.944444444,0.8125,NA,NA,NA,3.533333333,0.230769231,77,14,19,20,24
19,16,21,12,3,4.666667,4,3.7,5,3,3.1,2.9,1.875,3.444444,3,4,3.3,2.769231,3.142857,1.95,3.2,2.25,2.4,1.45,2.944444444,0.520833333,NA,NA,NA,2.266666667,0.461538462,85,19,20,23,23
20,16,23,9,4.428571,5,4,3.3,8,8,3.7,1.6,4,4,2.888889,1.875,3.8,3.384615,2.571429,1.65,6.6,6,1.3,0.35,1.388888889,0.354166667,NA,NA,NA,3.533333333,0.307692308,104,24,25,27,28
21,8,14,12,3.714286,5,3.583333,3.9,7,5,3.5,3,3.5,3.444444,3.111111,3.375,3.2,3.615385,3.571429,2.45,5.8,4,2,1.052631579,2.555555556,0.416666667,NA,NA,NA,3.133333333,0.153846154,84,13,24,24,23
22,16,25,12,3.428571,3,3.833333,3.6,9,7,3.6,2.3,2.875,4,3.333333,3.75,4.5,3.384615,3.714286,2.05,5.6,3.75,2.1,0.6,2.333333333,0.5,NA,NA,NA,3.133333333,0.384615385,83,18,21,25,19
23,26,26,6,5,7,4.5,4,7,5,3.9,1.6,4.625,4.666667,4.333333,1.5,4.1,3.923077,3.428571,1.4,6.4,6.25,0.8,0,1.277777778,0.479166667,NA,NA,NA,2.666666667,0.461538462,105,26,24,27,28
24,13,16,14,4,2.333333,4.5,4.2,8,7,3.7,2.3,3.25,2.777778,2.444444,1.875,3.5,3.307692,2.142857,1.85,5.2,5,1.3,0.25,1.666666667,0.541666667,NA,NA,NA,3.133333333,0.153846154,83,14,25,21,23
25,20,13,13,3.428571,5.5,4.166667,4.8,6,4,2.4,3.8,3,3.222222,2.777778,3.75,3,2.615385,4,2.05,3.2,2.75,3.1,1.55,3.722222222,0.5,NA,NA,NA,2.066666667,0.538461538,77,15,10,25,27
26,20,18,10,4.285714,4.5,4,4.2,6,5,4.3,1.5,4.125,2.888889,3.555556,2.75,4.7,3.769231,3,1.75,5.8,3.5,1.5,0.421052632,2.166666667,0.583333333,NA,NA,NA,3.4,0.384615385,94,22,21,24,27
27,20,21,14,4,4.333333,4.583333,4.2,6,6,4.5,2.7,3.125,4.777778,4.444444,2.375,3.6,3.538462,3.571429,1.75,5.4,5.5,1.6,0.85,2.111111111,0.395833333,NA,NA,NA,3.666666667,0.538461538,99,21,23,27,28
28,11,19,3,2.857143,2.5,3.25,3.5,8,8,4.1,1.3,4.125,2.444444,3.777778,1.75,3.3,3.692308,2.714286,1.5,6,5.5,0.7,0.2,1.333333333,0.5625,NA,NA,NA,4.333333333,0.461538462,56,9,14,12,21
29,20,21,12,4.428571,2.5,3.75,4.4,9,6,3.9,2.7,2.375,4,4.555556,3.625,3.2,3.153846,3.714286,2.15,6.2,4,1.5,0.5,2.555555556,0.395833333,NA,NA,NA,2.8,0.538461538,98,24,23,25,26
30,15,21,11,3.857143,4.166667,3.833333,3.3,6,6,3.8,2,3.25,3.777778,3.555556,2.75,4,2.846154,2.857143,1.95,5.6,4.75,1.7,0.4,1.944444444,0.395833333,NA,NA,NA,3.636363636,0.692307692,73,15,19,19,20
31,22,22,12,4,2,4,3.6,9,8,3.9,3.1,4.125,3.777778,4.111111,3.125,3.9,3.692308,3.571429,1.75,5.2,5.75,2.2,0.95,2.444444444,0.875,NA,NA,NA,3.933333333,0.384615385,97,24,23,28,22
32,13,17,18,3.714286,4.833333,3.166667,4.5,7,7,4.2,1.8,3,4.111111,4,2.5,2.5,3,3.571429,2.25,6.2,5.25,1.7,0.15,1.666666667,0.4375,NA,NA,NA,2.8,0.615384615,83,14,20,24,25
33,23,18,13,3.714286,3.5,3.916667,2.6,9,8,3.2,1.7,2.375,3.888889,4,3.125,2.9,2.153846,2.428571,2.1,5.8,4.25,1.5,0.4,1.722222222,0.208333333,NA,NA,NA,2.666666667,0.769230769,62,12,17,18,15
34,16,16,12,3,4,3.666667,3.2,7,7,4.2,1.9,4.375,3.222222,4.666667,1.875,3.3,3.076923,2.428571,1.95,6.2,6,1,0.5,1.555555556,0.446808511,NA,NA,NA,3.533333333,0.538461538,77,14,22,17,24
35,21,22,12,4.714286,4,4.333333,3.1,9,9,4.7,1.3,5,4.444444,4.888889,1.625,4,3.384615,2.857143,1.2,6,6.25,2.7,0.75,1.833333333,0.791666667,NA,NA,NA,4.066666667,0.461538462,86,17,18,26,25
36,13,23,14,3.571429,2.5,3.333333,4.7,7,6,3.2,1.7,2,3.111111,4,3.875,4,3,3.857143,2,5.8,3.75,2.4,0.95,2.388888889,0.395833333,NA,NA,NA,2.466666667,0.461538462,99,22,28,24,25
37,17,22,17,3.857143,5.5,2.833333,3.6,7,5,3.5,1.3,3.5,4,4,2.125,2.8,3,3.571429,2.55,4.8,5,1,0.5,1.777777778,0.604166667,NA,NA,NA,3.266666667,0.307692308,85,13,24,23,25
38,9,14,13,3,4.333333,2.583333,3.9,8,5,3,2.4,2.625,3.666667,3,2.875,3.5,2.923077,3.142857,2.2,4,3.25,1.9,0.55,2.111111111,0.229166667,NA,NA,NA,2.4,0.230769231,80,10,21,26,23
39,16,18,17,3.714286,4.833333,4,3.7,6,7,3.8,1.3,2,4,4.333333,3.25,4.3,3,3.571429,1.9,5.8,5,1.8,0.45,1.888888889,0.375,NA,NA,NA,2.666666667,0.230769231,80,14,19,22,25
40,12,18,15,3,3,2.5,4.7,7,6,2.6,2.4,2.5,3.222222,2.666667,3.5,2.5,2.923077,3.428571,2.35,5.2,4.5,1.7,0.4,2.333333333,0.4375,NA,NA,NA,2.866666667,0.384615385,95,24,24,24,23
41,23,19,11,4.428571,5.833333,4,3.1,10,5,3.6,2.7,3.875,3.666667,3.444444,2.375,3.7,3.307692,2.714286,1.75,5.8,6.25,1.3,0.25,2,0.875,NA,NA,NA,3.733333333,0.538461538,94,22,22,26,24
42,16,17,15,2,6.5,2.75,3.2,8,6,3.5,3.1,3.25,2.444444,3.555556,3.375,3.2,3.153846,2.571429,2.6,3.4,3.75,2.3,1.05,2.777777778,0.416666667,NA,NA,NA,2.071428571,0.230769231,61,9,15,21,16
43,20,13,13,3,3,2.416667,3.8,3,7,3.8,2.1,3.375,3.111111,3.111111,3.25,3.3,3.076923,3.428571,2.25,6.8,3.5,1.1,0.85,2.444444444,0.708333333,NA,NA,NA,3.066666667,0.384615385,73,10,26,16,21
44,25,21,9,4.857143,4.5,3.416667,3,7,7,4.6,1.6,4.375,3.777778,3.888889,2.25,3.6,3.846154,2.714286,1.85,7,6,1.5,0.25,1.777777778,0.625,NA,NA,NA,4.133333333,0.615384615,99,25,22,27,25
45,17,22,13,3.714286,3.5,3.416667,3.2,7,8,3.4,2,3.125,3.111111,2.777778,2.625,3.9,3.230769,3.285714,1.7,6.2,5.75,2.1,0.45,1.722222222,0.541666667,NA,NA,NA,3.266666667,0.153846154,87,15,26,25,21
46,16,18,7,3.857143,4.833333,3.666667,3.5,7,8,3.3,1.7,3.75,4,4.111111,1.875,3.2,2.923077,2.714286,1.7,6,6,1.1,0.25,1.611111111,0.3125,NA,NA,NA,3.2,0.615384615,77,13,21,20,23
47,15,19,9,3.142857,4.333333,3.916667,2.5,5,3,4,1.9,2.75,3.777778,4.333333,1.75,3.4,3.153846,2.428571,2.35,6.2,3.75,0.9,0.25,1.5,0.125,NA,NA,NA,2.6,0.769230769,63,7,22,19,15
48,25,24,16,4.714286,4.5,4.666667,4.5,6,4,3.7,3.2,2.625,4.555556,3.888889,4.375,4.5,3.384615,4,2.55,4.6,3.25,2.9,2.3,3.388888889,0.5625,NA,NA,NA,2.2,0.384615385,101,22,24,27,28
49,17,27,7,3.285714,3,5,3.8,9,7,3.8,3.1,4.75,4.555556,4.333333,3.625,2.8,3.230769,3.428571,1.85,7,4.25,2.5,0.65,2.388888889,0.479166667,NA,NA,NA,3.2,0.615384615,89,22,16,26,25
50,13,13,6,3.571429,4.666667,3.166667,3.1,5,7,4.1,1.7,3,4,4.666667,1.875,3.5,2.916667,2.714286,2,6.6,5,1.3,0.4,2.055555556,0.645833333,NA,NA,NA,3.266666667,0.615384615,76,16,21,18,21
51,17,22,12,3,2.833333,3.833333,3.3,9,7,4.2,2,2.5,4,3.777778,3.125,3.9,2.307692,3.285714,3.05,5,3.25,1.9,0.75,2.444444444,0.291666667,NA,NA,NA,1.933333333,0.384615385,71,9,15,22,25
52,17,8,17,3.428571,3,3,3.3,8,7,3.2,2.2,1.75,4.222222,3.444444,2.125,3,2.692308,3.142857,2.8,7,6.25,2,0.8,2.055555556,0.458333333,NA,NA,NA,3.533333333,0.153846154,84,13,28,24,19
53,18,17,10,3,6,3.583333,3.4,8,6,3.9,1.1,4.375,3.666667,4,2,4.2,3.076923,2.571429,1.2,5.8,5.75,0.6,0.05,1.944444444,0.625,NA,NA,NA,3,0.692307692,96,24,24,24,24
101,15,23,10,3.857143,6.666667,4.166667,3.4,7,7,4.5,1.5,3.625,4.444444,4.222222,2.5,3.5,2.692308,2.857143,1.25,6.4,5.25,1.2,0.15,1.611111111,0.25,5.6,5.4,5.8,2.4,0.538461538,103,23,25,28,27
102,18,14,12,3.571429,5,3.333333,2.4,6,6,2.7,1.2,2.875,3.222222,3.111111,2.875,3.1,2.384615,2.714286,2.45,5,5.5,1.5,0.5,2.388888889,0.104166667,4.8,4.4,4.4,1,0.461538462,56,9,12,17,18
103,28,20,0,4,6.5,5,3.2,5,7,5,1.4,3.875,5,5,3.125,4.5,3,3.285714,1.55,6,7,2.2,0.85,2,0.520833333,4.84,4.6,4.6,3.066666667,0.769230769,112,28,28,28,28
104,18,21,14,4,3,4.25,4.4,8,6,4,2.3,4.25,4.444444,4.333333,4,2.7,3.307692,3.714286,2.1,6,5.5,1.7,0.3,2.333333333,0.229166667,5.48,5.2,5.6,2.6,0.230769231,110,28,28,28,26
105,24,20,11,4.142857,4.666667,4.416667,4,7,6,3.3,1.9,3.25,4.666667,3.777778,2.625,3.5,2.846154,3.142857,1.6,6.8,5.5,1.7,0.45,2.055555556,0.020833333,5.36,5,5.2,2.866666667,0.230769231,105,26,25,28,26
106,21,22,8,3.857143,4.333333,4.416667,3.9,4,6,4,1.7,3,3.777778,3.333333,3.125,4.5,3,3,2.1,5.6,4.5,1.8,0.75,2.222222222,0.395833333,5.64,5.8,5.8,2.933333333,0.461538462,89,20,20,25,24
107,18,21,11,3.857143,4.666667,3.666667,2.7,8,6,3.8,2,3.375,3.777778,3.555556,2.875,3.4,2.538462,2.857143,1.95,5.6,5.25,1.8,0.5,2.055555556,0.291666667,5.2,5.4,4.4,2.8,0.538461538,71,9,17,20,25
108,26,26,12,4.857143,4,3.583333,3.1,8,6,3.5,2.7,4.25,4.333333,3.444444,3.5,4.6,3.384615,3.571429,1.9,6.2,5.75,1.8,1.25,2.722222222,0.458333333,3.76,3.2,3,2.6,0.615384615,97,24,23,23,27
109,19,15,15,3.428571,4.666667,3.666667,3.4,9,4,3.3,2.9,2,2.888889,3.777778,3.5,3.9,2.538462,3.428571,2.4,6,2.25,2.4,0.9,2.666666667,0.3125,4.44,4,5.2,2.666666667,0.153846154,72,9,21,20,22
110,16,17,9,3,3.333333,2.833333,3.3,9,9,3,1.2,2.75,2.888889,3.888889,2.5,3.7,2.692308,2.857143,2.1,5,4.5,1.1,0.5,1.944444444,0.520833333,5.44,5.4,5.4,3.6,0.307692308,72,15,20,19,18
111,15,21,18,3.428571,1.833333,3.333333,4.3,8,7,2.6,2.6,1.75,3.444444,3.333333,4.25,3.7,2.923077,3.857143,2.95,3.4,2.75,2.7,1.8,2.722222222,0.25,4.88,4.6,5.2,2.333333333,0.307692308,83,15,23,27,18
112,22,20,12,4,3.666667,4.833333,4.3,7,7,4.2,2.8,3.75,4.333333,4.222222,3.875,4.6,3.538462,3.571429,1.85,5.4,5.5,2.2,0.75,2.444444444,0.729166667,5.36,4.4,5.6,3.533333333,0.615384615,107,27,27,28,25
113,16,13,9,3.142857,4,4.083333,3.6,7,3,2.8,2.6,4,2.777778,2.777778,2.875,3.3,3.615385,2.857143,2.85,2.8,3.75,2.6,1.3,2.722222222,0.6875,5.2,4.6,4.8,3.333333333,0.307692308,74,16,19,19,20
114,15,17,10,2.285714,3.333333,3.416667,2.4,6,6,3,2.2,2.5,3.666667,3.555556,2.875,4,2.846154,2.428571,2.85,2,3.25,2.3,1,2.166666667,0.3125,5.44,5,5.6,2.2,0.461538462,68,16,17,17,18
115,20,22,6,4.142857,3.833333,4.083333,3.6,9,7,4.3,1.5,4.375,4.444444,4.333333,2,3.3,3.384615,3.142857,1.4,7,6.25,1.2,0.3,1.388888889,0.25,5.2,5.2,5.2,2.733333333,0.538461538,80,14,19,22,25
116,9,23,14,3.285714,2.166667,3.833333,4.3,6,5,3.4,2.6,3.875,4.222222,3.222222,3.125,3.8,3.615385,3.857143,2.45,6.2,4,2,0.8,2.333333333,0.25,5,5.2,5,3,0.153846154,85,20,17,24,24
117,13,19,12,4,4.5,4,2.5,6,4,3.7,1.9,3,3.444444,2.777778,2.375,4,3.538462,2.571429,2.55,6,5.75,1.9,0.5,1.944444444,0.4375,5.12,5.2,4.6,3.733333333,0.307692308,60,10,15,15,20
118,18,17,6,3.714286,7,3.5,3.2,9,6,4.3,1.2,4,4.555556,3.444444,1.625,4.1,2.769231,2.571429,1.6,6,5.75,1,0.25,1.611111111,0.395833333,5.2,5.2,5.4,3.266666667,0.769230769,79,16,21,21,21
119,16,18,9,2.857143,4.166667,3.416667,3,7,3,3.4,2.3,2.5,3.888889,4,2,2.9,2.384615,1.714286,2.05,5.6,3.75,1.7,0.55,2.222222222,0.270833333,5.36,5.2,5.2,2.8,0.769230769,71,12,18,19,22
120,19,21,12,3.285714,4.333333,3.833333,3.7,5,4,3.6,3.6,3.375,3.444444,3,3.25,3.3,2.923077,2.857143,1.95,5,3.75,2.9,0.75,2.777777778,0.229166667,4.88,5,5.6,2.266666667,0.076923077,93,21,24,25,23
121,14,17,14,3,5.5,3.083333,4,5,6,2.4,1.3,3.125,3.333333,3,3.5,3.1,2.461538,2.571429,2.35,5.2,4.5,1.5,0.15,2.444444444,0.354166667,5.2,5,5,3,0.230769231,76,18,19,20,19
122,25,21,10,3.428571,2.5,4.083333,3.2,8,2,2.7,3.1,2.25,3.777778,3,3.5,4,3.076923,3.428571,2.25,1.6,2.25,2.7,1.35,3.277777778,0.458333333,4.56,3.8,3.8,2.666666667,0.615384615,49,6,7,18,18
123,17,16,8,3,4.5,2.666667,3,7,3,3.1,2.2,2.5,2.888889,4,3,3.3,2.692308,3.428571,2.7,4.8,3,2.4,0.75,2.388888889,0.291666667,4.96,4.8,5.4,2.8,0.076923077,61,10,21,16,14
