ID,dorm,Empathy_Factor,NegAffect_Factor,PosAffect_Factor,LifeSatTransf_Factor,inDegreeQ1,inDegreeQ2,inDegreeQ3,inDegreeQ4,inDegreeQ5,inDegreeQ6,inDegreeQ7,inDegreeQ8,inDegreeQ9,high_trust,low_trust,high_fun,low_fun
1,1,6.06,3.01,1.88,8.25,11,11,4,1,8,5,0,4,0,4.25,6.75,7.75,3.25
2,1,6.43,4.81,1.75,5.82,6,4,2,3,4,3,1,4,0,3.25,3.5,4.25,2.5
3,1,6.14,2.55,2.25,9.99,11,13,4,3,6,5,4,5,0,5.75,7,8.5,4.25
4,1,6.89,3.89,2.05,5.86,6,5,5,4,4,5,5,5,0,5,4.75,5.25,4.5
5,1,5.97,2.89,2.12,4.75,2,2,2,2,2,1,1,2,0,1.5,2,1.75,1.75
6,1,6.57,2.79,2.06,8.72,1,1,1,1,1,1,1,0,0,1,0.75,0.75,1
7,1,7.46,1.95,2.39,5.09,3,1,2,1,1,1,0,0,5,1.25,1,1.25,1
8,1,5.17,3.33,1.41,5.49,2,3,2,3,3,2,2,3,0,2.25,2.75,2.5,2.5
9,1,5.18,4.72,1.86,5.18,5,4,3,2,4,2,1,4,1,2.5,3.75,3.75,2.5
10,1,6.67,1.98,1.95,4.58,7,5,4,5,4,5,4,4,0,5.25,4.25,5.25,4.25
11,1,7.19,4.01,1.81,10.7,4,5,6,4,5,5,5,3,5,4.5,4.75,4.25,5
12,1,5.3,3.33,2.08,8.31,1,1,1,0,1,0,0,0,2,0.25,0.75,0.5,0.5
13,1,6.12,3.06,2.16,9.49,11,11,2,6,7,6,4,4,0,6.75,6,8,4.75
14,1,7.2,2.6,1.94,5.31,6,4,3,2,3,3,4,1,0,3.75,2.75,3.5,3
15,1,7.78,4.17,2.58,2.66,6,5,4,3,5,2,0,4,0,2.75,4.5,4.25,3
16,1,4.62,3.32,2.28,5.22,4,4,4,4,5,3,3,5,5,3.5,4.5,4,4
17,1,6.84,3.12,2.02,6.4,6,4,4,3,4,4,2,2,5,3.75,3.5,4,3.25
