UIN,Complete15under,Q1_rate_1,Q1_rate_2,Q1_rate_3,Q1_rate_4,Q1_rate_5,Q1_rate_6,Q1_rate_7,Q2_rate_1,Q2_rate_2,Q2_rate_3,Q2_rate_4,Q2_rate_5,Q2_rate_6,Q2_rate_7,Q3_rate_1,Q3_rate_2,Q3_rate_3,Q3_rate_4,Q3_rate_5,Q3_rate_6,Q3_rate_7,Q4_rate_1,Q4_rate_2,Q4_rate_3,Q4_rate_4,Q4_rate_5,Q4_rate_6,Q4_rate_7,Q5_rate_1,Q5_rate_2,Q5_rate_3,Q5_rate_4,Q5_rate_5,Q5_rate_6,Q5_rate_7,Q6_rate_1,Q6_rate_2,Q6_rate_3,Q6_rate_4,Q6_rate_5,Q6_rate_6,Q6_rate_7,Q7_rate_1,Q7_rate_2,Q7_rate_3,Q7_rate_4,Q7_rate_5,Q7_rate_6,Q7_rate_7,Q8_rate_1,Q8_rate_2,Q8_rate_3,Q8_rate_4,Q8_rate_5,Q8_rate_6,Q8_rate_7,HighTrustNetwork,HighEmoCloseNetwork,LowTrustNetwork,LowEmoCloseNetwork
1,0,62,59,56,81,61,72,63,50,63,66,50,63,41,43,69,67,73,34,85,36,50,63,67,38,53,79,74,71,50,73,50,76,37,43,73,83,64,50,72,60,43,57,85,66,50,47,71,84,66,50,50,50,50,50,50,50,73.25,48.5,54.75,59.75
2,0,100,61,60,70,62,82,100,100,99,100,100,100,79,100,100,68,62,79,85,78,62,100,64,100,62,90,63,75,70,77,92,88,83,72,64,100,89,84,72,83,75,85,100,81,88,76,79,50,81,100,43,59,63,61,79,100,100,83,92.5,78.25
3,0,50,50,50,50,50,50,54,50,50,50,85,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50,71,79,73,72,100,68,52,87,81,81,83,95,77,83,74,80,74,79,73,50,50,50,50,50,50,50,61.25,65.25,58.75,55.25
4,0,64,100,63,60,63,61,66,63,83,63,68,98,69,70,81,58,62,62,65,61,82,67,68,76,57,60,50,63,50,50,50,69,59,50,71,100,86,63,79,61,91,56,58,63,58,60,56,59,51,86,92,63,85,88,70,84,72.25,65,70,59.5
5,0,4,1,2,2,2,1,3,7,8,7,10,9,17,10,1,2,2,2,4,3,4,3,6,2,4,3,5,4,1,3,3,4,1,8,7,4,3,3,4,3,5,3,0,16,0,10,1,11,10,3,3,2,5,2,4,2,2.75,1.75,3,3.5
6,0,50,50,50,50,50,50,50,50,50,64,50,70,77,28,50,50,50,50,50,50,50,50,50,50,50,50,50,50,68,55,55,44,47,48,39,50,50,50,50,50,50,50,50,53,50,50,50,50,50,53,50,52,55,48,50,50,50,50,55.25,55.25
7,0,88,87,80,84,73,68,82,65,74,86,64,81,72,88,24,42,36,27,26,30,31,69,41,27,23,20,30,57,77,66,61,62,69,50,79,84,82,90,80,61,67,63,31,42,24,11,51,51,21,57,68,66,68,59,67,61,68,55.25,55.75,62.25
8,0,30,31,32,23,28,30,29,34,38,33,30,34,36,34,31,80,32,69,38,76,61,31,60,32,42,31,74,61,21,68,27,29,23,71,74,36,28,32,35,33,26,31,50,74,36,57,34,70,68,31,31,26,35,33,31,30,36.75,33,29.25,29.5
9,0,41,50,23,50,30,61,50,13,69,37,50,38,54,25,56,38,66,50,36,50,74,37,43,63,63,58,45,38,100,40,37,42,43,60,61,100,78,85,83,81,68,60,54,41,41,61,45,63,34,21,65,26,50,31,50,40,58,53,47.5,41.5
10,0,50,73,50,50,50,50,73,72,73,50,73,50,50,71,100,81,88,50,50,50,50,79,58,92,79,50,50,57,50,83,82,84,50,50,50,69,69,69,50,50,50,50,100,86,98,50,50,50,50,50,75,75,50,50,50,50,74.5,77.25,68,73.75
